Participant,Item,Condition,R1,R2,R3,R4,R5,R6
37,13,2,1951,1756,2280,2646,2090,117
38,13,1,1662,1448,1618,933,1219,374
39,13,2,1066,3102,1407,891,2329,1019
40,13,1,2027,666,1232,658,362,282
41,13,2,2535,1776,2128,1158,903,1183
1,14,2,1099,1670,1541,2017,1184,902
2,14,1,1409,1852,3968,3931,0,732
3,14,2,1749,1436,1857,1084,1223,983
4,14,1,1423,1858,1627,1273,1091,708
5,14,2,861,911,1455,1208,1531,604
6,14,1,509,1082,712,622,838,425
7,14,2,1861,999,1108,1167,1153,2116
8,14,1,2052,1520,2168,2054,1374,1174
9,14,2,1347,2809,979,1143,1010,1093
10,14,1,1261,1399,1634,1462,1118,667
11,14,2,1339,1275,1736,2482,1722,516
12,14,1,1311,1627,1546,1346,844,824
13,14,2,1628,1329,1694,1428,1202,1121
14,14,1,1754,1266,1632,708,1479,1434
15,14,2,4149,1010,2365,2301,2303,1024
16,14,1,1510,1215,1797,1645,1086,1371
17,14,2,2509,1155,1685,1944,2186,1598
18,14,1,3780,1248,1534,1482,1705,1710
19,14,2,1997,1113,2445,1424,1490,1132
20,14,1,1859,1383,2003,866,123,910
21,14,2,439,619,847,869,744,499
22,14,1,2609,2009,1689,2570,2320,1268
23,14,2,1148,1201,1503,268,1065,2193
24,14,1,3076,2362,1109,721,679,1061
25,14,2,1447,1104,2142,1752,1389,862
26,14,1,1541,1833,1117,848,922,1802
27,14,2,715,684,1127,1458,1436,1439
28,14,1,1179,907,1997,1463,1630,891
29,14,2,269,170,1431,329,0,126
30,14,1,6566,2203,3561,659,2551,2054
31,14,2,2266,1617,2344,1833,1643,841
32,14,1,1075,1089,1349,1305,904,984
33,14,2,2116,2085,1224,1689,1887,1313
34,14,1,1776,1534,1909,1393,706,1758
35,14,2,2946,1501,3055,1772,1798,1109
37,14,1,1459,1429,1205,1460,1290,1291
38,14,2,1563,1007,1083,352,987,487
39,14,1,1035,1166,817,889,926,572
40,14,2,1139,641,948,782,549,377
41,14,1,1561,1524,1259,1794,1489,1133
1,15,1,0,3333,1835,1475,1659,1118
2,15,2,987,1281,652,1782,1636,614
3,15,1,3943,185,2041,1406,940,1016
4,15,2,1312,161,1931,1496,1019,1240
5,15,1,986,1062,1589,1955,1466,1321
6,15,2,377,783,480,367,1011,615
7,15,1,1683,1538,1435,1492,1076,2417
8,15,2,2159,1850,3086,3001,1761,2725
9,15,1,836,1336,2705,2169,1202,1118
10,15,2,1614,3202,2105,1331,1765,1159
11,15,1,2132,2448,1374,1391,1360,1040
12,15,2,1124,1921,810,996,1260,1319
13,15,1,1290,985,1010,1098,832,1374
14,15,2,1325,1144,2194,1431,1528,1231
15,15,1,3469,1202,1320,1581,1121,1683
16,15,2,1348,1593,2165,2025,1277,1437
17,15,1,1357,2126,1293,1378,1068,1094
18,15,2,1065,5800,1863,1317,1616,2100
19,15,1,1438,1847,1745,2348,1718,940
20,15,2,1500,2161,1670,2254,1487,1792
21,15,1,764,1232,936,1000,685,821
22,15,2,1166,1564,1355,825,1670,873
23,15,1,1606,1746,1448,1468,1558,1922
24,15,2,1344,3522,1429,1395,1049,739
25,15,1,1019,1447,1619,2081,1569,1376
