Participant,Item,Condition,R1,R2,R3,R4,R5,R6
6,12,1,757,1465,1014,1100,877,160
7,12,2,1903,2980,3917,4624,1386,2886
8,12,1,2428,4201,2183,4095,1567,1318
9,12,2,1772,2425,1629,755,1468,0
10,12,1,1396,3412,2632,1936,833,935
11,12,2,315,2359,1748,1863,1100,17565
12,12,1,851,2050,1257,1503,878,1044
13,12,2,1372,2816,1384,1109,1322,1118
14,12,1,1607,2236,1514,1901,1373,959
15,12,2,1008,6048,942,1557,1680,1434
16,12,1,1792,2242,1888,2068,1546,1062
17,12,2,2256,8430,2201,2715,1585,1718
18,12,1,986,3423,8315,1723,1364,1025
19,12,2,1338,2740,1502,2303,1650,920
20,12,1,1312,3434,6646,2078,1423,789
21,12,2,551,898,1374,1774,921,1227
22,12,1,1042,3275,1795,1501,1055,1456
23,12,2,1105,1713,1272,2129,1541,1584
24,12,1,2271,3276,1910,1127,730,2939
25,12,2,1398,3220,2446,2159,1253,854
26,12,1,2029,3132,1840,3119,1037,842
27,12,2,1199,1724,1334,2332,719,151
28,12,1,1430,2550,1720,2197,1260,2253
29,12,2,857,1503,1412,1090,1187,2024
30,12,1,2800,7427,6010,3942,1765,4996
31,12,2,2495,6301,3955,2612,1158,630
32,12,1,1025,1998,4693,1687,1367,1558
33,12,2,1417,2012,1492,2148,2214,2983
34,12,1,1205,2337,1523,1496,877,1017
35,12,2,1286,3884,1886,1800,1734,1687
37,12,1,659,3882,2165,1337,2019,555
38,12,2,1741,1464,995,605,1374,592
39,12,1,2704,1032,1107,673,810,2298
40,12,2,1315,1575,572,962,929,607
41,12,1,1532,2167,1439,1642,910,846
1,13,1,2028,1555,1906,1302,1083,1136
2,13,2,2286,1701,2640,2277,2529,2344
3,13,1,4433,5096,1742,1164,1254,1380
4,13,2,2386,2021,2035,2294,2095,1885
5,13,1,1375,3284,1752,2256,1059,1148
6,13,2,2093,1587,1173,1327,744,1429
7,13,1,2226,2727,1924,2314,1609,2389
8,13,2,2630,3022,3181,3524,2180,1524
9,13,1,2671,1857,2509,5967,1337,791
10,13,2,2360,1405,2120,1804,1531,1571
