Participant,Item,Condition,R1,R2,R3,R4,R5,R6
13,14,2,0,100,0,0,0,100
14,14,1,0,0,0,0,0,0
15,14,2,0,0,100,0,0,100
16,14,1,0,0,0,0,0,0
17,14,2,0,0,0,0,0,100
18,14,1,0,0,0,0,0,0
19,14,2,0,0,0,0,0,100
20,14,1,0,0,0,100,100,0
21,14,2,0,0,0,100,0,100
22,14,1,0,0,0,0,0,100
23,14,2,0,0,0,100,0,100
24,14,1,0,100,0,0,0,100
25,14,2,0,0,0,0,0,100
26,14,1,0,100,0,0,0,100
27,14,2,0,0,0,0,0,100
28,14,1,0,0,0,0,0,100
29,14,2,0,0,0,100,0,100
30,14,1,0,0,0,100,0,0
31,14,2,0,0,0,0,0,100
32,14,1,0,0,0,0,0,0
33,14,2,0,0,0,0,0,100
34,14,1,0,0,0,100,0,0
35,14,2,0,0,0,0,0,100
37,14,1,0,0,0,0,0,100
38,14,2,0,0,0,100,0,0
39,14,1,0,0,0,0,0,100
40,14,2,0,0,0,0,100,0
41,14,1,0,0,0,0,0,0
1,15,1,0,100,0,0,0,0
2,15,2,0,0,100,0,0,100
3,15,1,0,100,0,0,0,0
4,15,2,0,100,0,0,0,100
5,15,1,0,0,0,0,0,100
6,15,2,0,0,0,0,0,0
7,15,1,0,0,0,0,0,0
8,15,2,0,0,0,0,0,100
9,15,1,0,0,0,0,0,100
10,15,2,0,0,0,0,0,100
11,15,1,0,0,0,0,0,100
12,15,2,0,0,0,0,0,0
13,15,1,0,0,0,0,0,100
14,15,2,0,0,0,0,0,100
15,15,1,0,0,0,0,0,0
16,15,2,0,0,0,0,0,100
17,15,1,0,0,0,0,0,0
18,15,2,0,0,0,0,0,0
19,15,1,0,0,0,0,0,0
20,15,2,0,0,0,0,0,0
21,15,1,0,0,0,0,0,100
22,15,2,0,0,0,0,0,100
23,15,1,0,0,0,0,0,100
24,15,2,0,0,0,0,0,100
25,15,1,0,0,0,0,0,100
26,15,2,0,0,0,0,100,100
27,15,1,0,0,0,0,0,100
28,15,2,0,0,0,0,0,0
29,15,1,0,0,0,0,0,100
30,15,2,0,100,0,0,0,100
31,15,1,0,0,0,0,0,0
32,15,2,0,0,100,0,0,0
33,15,1,0,0,0,0,0,100
34,15,2,0,0,0,0,0,100
35,15,1,0,0,100,0,0,100
37,15,2,0,0,100,100,100,0
38,15,1,0,0,0,0,0,100
39,15,2,0,0,0,100,0,0
40,15,1,0,0,0,0,0,100
41,15,2,0,0,0,0,0,100
1,16,2,0,0,0,0,0,100
2,16,1,0,0,0,0,0,100
3,16,2,0,0,0,0,0,0
4,16,1,0,0,0,100,0,0
5,16,2,0,100,0,0,0,100
6,16,1,0,0,0,0,0,0
7,16,2,0,100,0,0,0,100
8,16,1,0,0,0,0,0,0
9,16,2,0,0,0,0,0,100
10,16,1,0,0,0,0,0,100
11,16,2,0,0,0,0,0,100
12,16,1,0,0,0,0,0,0
13,16,2,0,0,0,0,0,100
14,16,1,0,0,0,0,0,0
15,16,2,0,0,0,0,0,0
16,16,1,0,0,0,0,0,0
17,16,2,0,0,0,0,0,0
18,16,1,0,0,0,0,0,0
19,16,2,0,0,0,0,0,0
20,16,1,0,0,100,0,0,0
21,16,2,0,0,100,0,100,100
22,16,1,0,0,0,0,0,100
23,16,2,0,0,0,0,0,100
24,16,1,0,0,0,0,0,100
25,16,2,0,0,100,0,0,100
26,16,1,0,100,0,0,0,100
27,16,2,0,0,0,0,100,100
28,16,1,0,0,0,0,0,100
29,16,2,0,0,0,0,0,0
30,16,1,0,100,0,100,0,0
31,16,2,0,0,0,0,0,100
32,16,1,0,0,0,0,0,0
33,16,2,0,0,0,0,0,100
34,16,1,0,0,0,0,0,0
36,16,2,0,0,100,0,0,100
37,16,1,0,0,0,0,0,100
38,16,2,0,0,0,0,0,0
39,16,1,0,0,0,0,0,100
40,16,2,0,0,0,0,100,0
41,16,1,0,0,0,0,0,100
1,17,1,0,0,0,0,0,100
2,17,2,0,0,0,0,0,100
3,17,1,0,0,0,0,0,0
4,17,2,0,100,100,0,0,100
5,17,1,0,0,0,0,0,0
6,17,2,0,0,0,0,0,100
7,17,1,0,100,0,0,0,100
8,17,2,0,100,0,0,0,0
9,17,1,0,100,0,0,100,0
10,17,2,0,0,0,0,0,100
11,17,1,0,0,0,0,0,100
12,17,2,0,0,0,0,0,0
13,17,1,0,100,100,0,0,0
14,17,2,0,100,0,0,0,0
15,17,1,0,100,0,0,0,100
16,17,2,0,0,0,0,0,100
17,17,1,0,0,0,0,0,0
18,17,2,0,100,0,0,0,0
19,17,1,0,0,0,0,0,100
20,17,2,0,0,100,0,0,0
21,17,1,0,0,100,0,0,100
22,17,2,0,0,0,0,0,100
23,17,1,0,0,0,0,0,100
24,17,2,0,100,0,0,100,0
25,17,1,0,0,100,0,0,100
26,17,2,0,100,0,0,0,0
27,17,1,0,0,0,0,0,100
28,17,2,0,0,0,0,0,100
29,17,1,0,0,0,0,0,100
30,17,2,0,100,0,0,0,0
31,17,1,0,0,0,0,0,100
32,17,2,0,0,100,0,0,0
33,17,1,0,0,0,0,0,0
34,17,2,0,0,0,0,0,100
36,17,1,0,0,0,0,0,100
37,17,2,0,100,0,100,0,0
38,17,1,0,0,0,0,0,0
39,17,2,0,0,0,0,0,0
40,17,1,0,0,0,0,0,100
41,17,2,0,0,0,0,0,0
1,18,2,0,0,0,0,0,100
2,18,1,0,100,0,100,0,100
3,18,2,0,0,0,0,0,0
4,18,1,0,100,0,0,0,100
5,18,2,0,0,100,0,0,100
6,18,1,0,0,0,0,0,0
7,18,2,0,0,0,0,0,100
8,18,1,0,100,0,0,0,0
9,18,2,0,100,100,0,0,100
10,18,1,0,0,0,0,0,0
11,18,2,0,100,0,0,0,100
12,18,1,0,0,0,0,0,0
13,18,2,0,100,0,0,0,100
14,18,1,0,0,0,0,0,100
15,18,2,0,100,100,100,0,100
16,18,1,0,100,0,0,0,100
17,18,2,0,100,0,0,0,100
18,18,1,0,100,0,100,100,0
19,18,2,0,0,0,0,0,0
20,18,1,0,0,0,0,0,100
21,18,2,0,100,0,100,0,100
22,18,1,0,0,0,0,0,100
23,18,2,0,0,0,0,0,100
24,18,1,0,100,0,0,0,100
25,18,2,0,0,0,0,0,100
26,18,1,0,0,0,0,0,100
27,18,2,0,100,0,0,0,100
28,18,1,0,0,0,100,0,0
29,18,2,0,0,0,0,0,0
30,18,1,0,100,0,0,0,0
31,18,2,0,0,0,0,0,0
32,18,1,0,0,0,100,0,0
33,18,2,0,0,0,0,0,100
34,18,1,0,0,0,0,0,0
35,18,2,0,0,0,0,0,100
37,18,1,0,100,0,0,0,0
38,18,2,0,0,0,0,0,0
39,18,1,0,0,100,0,0,100
40,18,2,0,0,0,0,0,100
41,18,1,0,0,0,0,0,0
1,19,1,0,0,0,0,0,0
2,19,2,0,100,0,100,0,100
3,19,1,0,0,0,0,0,100
4,19,2,0,0,0,0,100,100
5,19,1,0,0,0,100,0,0
6,19,2,0,100,0,0,0,100
7,19,1,0,0,0,0,0,0
8,19,2,0,100,0,0,0,0
9,19,1,0,0,0,100,0,0
10,19,2,0,0,0,0,0,0
11,19,1,0,0,0,0,100,100
12,19,2,0,0,0,0,0,0
13,19,1,0,100,0,0,0,0
14,19,2,0,0,0,0,0,0
15,19,1,0,0,0,0,100,0
16,19,2,0,0,0,0,0,0
17,19,1,0,0,0,0,0,100
18,19,2,0,0,100,0,100,0
19,19,1,0,100,0,0,0,0
20,19,2,0,0,0,0,0,0
21,19,1,0,0,0,0,0,0
22,19,2,0,0,0,0,0,100
23,19,1,0,0,0,0,0,0
24,19,2,0,0,0,0,0,100
25,19,1,0,0,0,0,0,100
26,19,2,0,0,100,0,0,100
27,19,1,0,0,0,0,0,0
28,19,2,0,0,0,0,0,0
29,19,1,0,0,0,0,0,100
30,19,2,0,0,100,0,0,0
31,19,1,0,100,0,0,0,0
32,19,2,0,100,0,0,0,0
33,19,1,0,0,0,0,0,0
34,19,2,0,0,0,0,0,0
36,19,1,0,0,0,0,0,100
37,19,2,0,0,0,0,100,100
38,19,1,0,0,0,0,0,0
39,19,2,0,0,100,0,0,100
40,19,1,0,0,0,0,0,100
41,19,2,0,0,0,0,0,0
1,20,2,0,0,0,0,0,100
2,20,1,0,0,0,0,0,100
3,20,2,0,0,0,0,0,0
4,20,1,0,0,0,0,0,100
5,20,2,0,0,0,100,0,100
6,20,1,0,0,0,100,0,100
7,20,2,0,0,0,0,100,100
8,20,1,0,100,0,0,0,0
9,20,2,0,100,0,0,0,100
