Participant,Item,Condition,R1,R2,R3,R4,R5,R6
41,14,1,1561,1524,1259,1794,1489,1133
1,15,1,0,4503,1835,1475,1659,1118
2,15,2,987,1823,2669,1782,2460,1389
3,15,1,5564,2007,2041,1406,940,1016
4,15,2,3440,6709,6339,4374,3171,2773
5,15,1,1621,1062,1840,2126,1612,1321
6,15,2,377,783,480,367,1011,615
7,15,1,1683,1538,1435,1492,1076,2417
8,15,2,2159,1850,3086,3001,1934,2725
9,15,1,1257,1336,2705,2169,1202,1118
10,15,2,1903,3339,2105,1331,1765,1159
11,15,1,2873,3778,2420,1391,1360,1040
12,15,2,1124,1921,810,996,1260,1319
13,15,1,1290,985,1010,1260,832,1374
14,15,2,2035,1365,2340,1431,1528,1231
15,15,1,3469,1202,1320,1581,1121,1683
16,15,2,1542,1593,2165,2025,1277,2033
17,15,1,1357,2126,1293,1378,1068,1094
18,15,2,1065,5800,1863,1317,1616,2100
19,15,1,1438,1847,1745,2348,1718,940
20,15,2,1500,2161,1670,2254,1487,1792
21,15,1,764,1341,936,1000,685,821
22,15,2,1372,1564,1355,825,1670,873
23,15,1,1958,1746,1448,1468,1904,2395
24,15,2,2049,4199,2164,1854,1540,739
25,15,1,1019,1447,1856,2081,1569,1376
26,15,2,3506,1121,1047,1279,1330,1328
27,15,1,812,1367,1552,1626,1202,1731
28,15,2,3043,2717,1293,1091,1700,1656
29,15,1,985,1837,1255,1235,1160,1711
30,15,2,5514,3653,4337,3479,1587,1997
31,15,1,1100,1555,1670,1601,1111,1803
32,15,2,910,2121,1727,1244,998,1811
33,15,1,1601,1304,1833,2429,2743,1941
34,15,2,1044,2065,1927,1983,2100,1369
35,15,1,3012,2289,2897,1752,1365,865
37,15,2,1414,1607,1479,1195,1806,1398
38,15,1,2246,2345,1332,1631,1219,915
39,15,2,1385,3298,702,544,776,615
